"ApplyCostCenterCode","ApplyProgramLocationCode","ApplyProgramName","ApplySchoolLocationCode","ApplySchool","ApplyCDSCode","ApplySchoolType","ApplyBoardDistrict","ApplyLocalDistrict","ApplyCommunityOfSchools","ApplyZipCode","ApplicantDualLanguage","Applications","SeatOffers","PropOfTotalApps","PropOfTotalSeatOffers"
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"No",94,22,0.7581,0.7097
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"Yes",30,9,0.2419,0.2903
1204102,2400,"Alexandria Avenue Elementary DL Two-Way Im Spanish",2041,"Alexandria Avenue Elementary","19647336015721","DUAL LANGUAGE (DLC) - ELEM",2,"C","DOWNTOWN COS",90004,"No",20,0,0.303,0
1204102,2400,"Alexandria Avenue Elementary DL Two-Way Im Spanish",2041,"Alexandria Avenue Elementary","19647336015721","DUAL LANGUAGE (DLC) - ELEM",2,"C","DOWNTOWN COS",90004,"Yes",46,0,0.697,0
1204202,4826,"Harvard Elementary DL Two-Way Im Spanish",2042,"Harvard Elementary","19647330109314","DUAL LANGUAGE (DLC) - ELEM",2,"W","HOLLYWOOD COS",90004,"No",16,0,0.5714,0
1204202,4826,"Harvard Elementary DL Two-Way Im Spanish",2042,"Harvard Elementary","19647330109314","DUAL LANGUAGE (DLC) - ELEM",2,"W","HOLLYWOOD COS",90004,"Yes",12,0,0.4286,0
1206802,2069,"Allesandro Elementary Cooperative Learning Magnet",2068,"Allesandro Elementary","19647336015739","MAGNET CENTER - ELEMENTARY",5,"C","GLSLL/LS FLZ PRK COS",90039,"No",130,30,0.9286,0.9091
1206802,2069,"Allesandro Elementary Cooperative Learning Magnet",2068,"Allesandro Elementary","19647336015739","MAGNET CENTER - ELEMENTARY",5,"C","GLSLL/LS FLZ PRK COS",90039,"Yes",10,3,0.0714,0.0909
1208202,2289,"Alta Loma Elementary DL Two-Way Im Spanish",2082,"Alta Loma Elementary","19647336015747","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90019,"No",10,4,0.2439,0.2667
1208202,2289,"Alta Loma Elementary DL Two-Way Im Spanish",2082,"Alta Loma Elementary","19647336015747","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90019,"Yes",31,11,0.7561,0.7333
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"No",153,27,0.9745,0.931
1208902,2091,"Ambler Avenue Elementary Gifted Magnet",2089,"Ambler Avenue Elementary","19647336015754","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"Yes",4,2,0.0255,0.069
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"No",63,12,0.7975,1
1208903,2295,"Ambler Avenue Elementary DL Two-Way Im Spanish",2089,"Ambler Avenue Elementary","19647336015754","DUAL LANGUAGE (DLC) - ELEM",7,"S","CARSON COS",90746,"Yes",16,0,0.2025,0
1209602,2097,"Amestoy Elementary Multilingual/Multicultural Magnet",2096,"Amestoy Elementary","19647336015762","MAGNET CENTER - ELEMENTARY",7,"S","GARDENA COS",90247,"No",242,39,0.9098,0.9286
1209602,2097,"Amestoy Elementary Multilingual/Multicultural Magnet",2096,"Amestoy Elementary","19647336015762","MAGNET CENTER - ELEMENTARY",7,"S","GARDENA COS",90247,"Yes",24,3,0.0902,0.0714
1211701,2117,"Andasol Avenue Elementary",2117,"Andasol Avenue Elementary","19647336015796","ELEMENTARY SCHOOL",3,"NW","KENNDY/NAHS/VAAS COS",91325,"No",91,7,0.901,0.875
1211701,2117,"Andasol Avenue Elementary",2117,"Andasol Avenue Elementary","19647336015796","ELEMENTARY SCHOOL",3,"NW","KENNDY/NAHS/VAAS COS",91325,"Yes",10,1,0.099,0.125
1212302,2322,"Angeles Mesa El DREAMS Magnet",2123,"Angeles Mesa Elementary","19647336015804","MAGNET CENTER - ELEMENTARY",1,"W","LA MID-CITY COS",90043,"No",135,21,0.9643,0.9545
1212302,2322,"Angeles Mesa El DREAMS Magnet",2123,"Angeles Mesa Elementary","19647336015804","MAGNET CENTER - ELEMENTARY",1,"W","LA MID-CITY COS",90043,"Yes",5,1,0.0357,0.0455
1214602,2328,"Annalee Avenue Elementary STEAM Magnet",2146,"Annalee Avenue Elementary","19647336015820","MAGNET CENTER - ELEMENTARY",7,"S","CARSON COS",90746,"No",95,39,1,1
1216401,2164,"Apperson Street Elementary",2164,"Apperson Street Elementary","19647336015846","ELEMENTARY SCHOOL",6,"NE","SUNLAND/TUJUNGA COS",91040,"No",16,2,0.7619,1
1216401,2164,"Apperson Street Elementary",2164,"Apperson Street Elementary","19647336015846","ELEMENTARY SCHOOL",6,"NE","SUNLAND/TUJUNGA COS",91040,"Yes",5,0,0.2381,0
1219202,4815,"Arlington Heights Elementary DL Two-Way Im Spanish",2192,"Arlington Heights Elementary","19647336015861","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90019,"No",17,0,0.425,0
1219202,4815,"Arlington Heights Elementary DL Two-Way Im Spanish",2192,"Arlington Heights Elementary","19647336015861","DUAL LANGUAGE (DLC) - ELEM",1,"W","LA MID-CITY COS",90019,"Yes",23,0,0.575,0
1223302,2297,"Atwater Avenue Elementary DL Two-Way Im Spanish",2233,"Atwater Avenue Elementary","19647336015895","DUAL LANGUAGE (DLC) - ELEM",5,"C","GLSLL/LS FLZ PRK COS",90039,"No",91,24,0.728,0.7742
1223302,2297,"Atwater Avenue Elementary DL Two-Way Im Spanish",2233,"Atwater Avenue Elementary","19647336015895","DUAL LANGUAGE (DLC) - ELEM",5,"C","GLSLL/LS FLZ PRK COS",90039,"Yes",34,7,0.272,0.2258
1225001,2250,"Academy for Enriched Sciences Elementary Magnet",2250,"Academy for Enriched Sciences Elementary Magnet","19647330125096","MAGNET-SELF CONTAINED (ELEM)",3,"NW","RESEDA COS",91316,"No",1362,71,0.9673,0.9342
1225001,2250,"Academy for Enriched Sciences Elementary Magnet",2250,"Academy for Enriched Sciences Elementary Magnet","19647330125096","MAGNET-SELF CONTAINED (ELEM)",3,"NW","RESEDA COS",91316,"Yes",46,5,0.0327,0.0658
1226901,2269,"Balboa Elementary Gifted/Highly Gifted/High Ability Magnet",2269,"Balboa Elementary Gifted/Highly Gifted/High Ability Magnet","19647336100069","MAGNET-SELF CONTAINED (ELEM)",3,"NW","KENNDY/NAHS/VAAS COS",91325,"No",2265,141,0.9835,0.986
1226901,2269,"Balboa Elementary Gifted/Highly Gifted/High Ability Magnet",2269,"Balboa Elementary Gifted/Highly Gifted/High Ability Magnet","19647336100069","MAGNET-SELF CONTAINED (ELEM)",3,"NW","KENNDY/NAHS/VAAS COS",91325,"Yes",38,2,0.0165,0.014
1227402,2275,"Baldwin Hills Elementary Gifted Magnet",2274,"Baldwin Hills Elementary","19647336015929","MAGNET CENTER - ELEMENTARY",1,"W","HAMILTON COS",90016,"No",386,53,0.9772,1
1227402,2275,"Baldwin Hills Elementary Gifted Magnet",2274,"Baldwin Hills Elementary","19647336015929","MAGNET CENTER - ELEMENTARY",1,"W","HAMILTON COS",90016,"Yes",9,0,0.0228,0
1230102,2324,"George De la Torre Jr Elementary STEAM Magnet",2301,"George de la Torre Jr Elementary","19647330111955","MAGNET CENTER - ELEMENTARY",7,"S","WILMINGTON COS",90744,"No",88,21,0.9778,0.9545
1230102,2324,"George De la Torre Jr Elementary STEAM Magnet",2301,"George de la Torre Jr Elementary","19647330111955","MAGNET CENTER - ELEMENTARY",7,"S","WILMINGTON COS",90744,"Yes",2,1,0.0222,0.0455
1230301,2303,"Porter Ranch Community School",2303,"Porter Ranch Community School","19647330126607","SPAN SCHOOL",3,"NW","CNGA PK/CHTSWRTH COS",91326,"No",44,0,0.6111,0
1230301,2303,"Porter Ranch Community School",2303,"Porter Ranch Community School","19647330126607","SPAN SCHOOL",3,"NW","CNGA PK/CHTSWRTH COS",91326,"Yes",28,0,0.3889,0
1230302,2769,"Porter Ranch School DL Two-Way Im Korean",2303,"Porter Ranch Community School","19647330126607","DUAL LANGUAGE (DLC) - ELEM",3,"NW","CNGA PK/CHTSWRTH COS",91326,"No",120,12,0.5854,0.5
1230302,2769,"Porter Ranch School DL Two-Way Im Korean",2303,"Porter Ranch Community School","19647330126607","DUAL LANGUAGE (DLC) - ELEM",3,"NW","CNGA PK/CHTSWRTH COS",91326,"Yes",85,12,0.4146,0.5
1230701,2307,"Dr Sammy Lee Elementary Medical and Health Science Magnet",2307,"Dr Sammy Lee Elementary Medical and Health Science Magnet","19647330128710","MAGNET-SELF CONTAINED (ELEM)",2,"C","DOWNTOWN COS",90004,"No",486,84,0.9205,0.9032
1230701,2307,"Dr Sammy Lee Elementary Medical and Health Science Magnet",2307,"Dr Sammy Lee Elementary Medical and Health Science Magnet","19647330128710","MAGNET-SELF CONTAINED (ELEM)",2,"C","DOWNTOWN COS",90004,"Yes",42,9,0.0795,0.0968
1230902,2770,"Willow Elementary DL Two-Way Im Spanish",2309,"Willow Elementary","19647330126409","DUAL LANGUAGE (DLC) - ELEM",5,"E","SOUTH GATE COS",90280,"No",43,3,0.4778,0.4286
1230902,2770,"Willow Elementary DL Two-Way Im Spanish",2309,"Willow Elementary","19647330126409","DUAL LANGUAGE (DLC) - ELEM",5,"E","SOUTH GATE COS",90280,"Yes",47,4,0.5222,0.5714
1231502,2330,"Barton Hill Elementary Maritime STEAM Magnet",2315,"Barton Hill Elementary","19647336015952","MAGNET CENTER - ELEMENTARY",7,"S","SAN PEDRO COS",90731,"No",101,20,0.9619,1
1231502,2330,"Barton Hill Elementary Maritime STEAM Magnet",2315,"Barton Hill Elementary","19647336015952","MAGNET CENTER - ELEMENTARY",7,"S","SAN PEDRO COS",90731,"Yes",4,0,0.0381,0
1234201,2342,"Beethoven Street Elementary",2342,"Beethoven Street Elementary","19647336015994","ELEMENTARY SCHOOL",4,"W","VENICE COS",90066,"No",82,9,0.9425,1
1234201,2342,"Beethoven Street Elementary",2342,"Beethoven Street Elementary","19647336015994","ELEMENTARY SCHOOL",4,"W","VENICE COS",90066,"Yes",5,0,0.0575,0
1236902,2771,"RFK Comm Schls - Ambassador Sch - Glbl Ed DL One-Way Im Span",2369,"RFK Comm Schls - Ambassador School - Global Education","19647330121103","DUAL LANGUAGE (DLC) - ELEM",2,"C","KTOWN/PICOUNION COS",90005,"No",35,6,0.4605,0.5455
1236902,2771,"RFK Comm Schls - Ambassador Sch - Glbl Ed DL One-Way Im Span",2369,"RFK Comm Schls - Ambassador School - Global Education","19647330121103","DUAL LANGUAGE (DLC) - ELEM",2,"C","KTOWN/PICOUNION COS",90005,"Yes",41,5,0.5395,0.4545
1236903,2772,"RFK Comm Schls - Ambassador Sch - Glbl Ed DL Two-Way Im Kor",2369,"RFK Comm Schls - Ambassador School - Global Education","19647330121103","DUAL LANGUAGE (DLC) - ELEM",2,"C","KTOWN/PICOUNION COS",90005,"No",21,3,0.6176,0.75
1236903,2772,"RFK Comm Schls - Ambassador Sch - Glbl Ed DL Two-Way Im Kor",2369,"RFK Comm Schls - Ambassador School - Global Education","19647330121103","DUAL LANGUAGE (DLC) - ELEM",2,"C","KTOWN/PICOUNION COS",90005,"Yes",13,1,0.3824,0.25
1237201,2372,"Ellen Ochoa Learning Center",2372,"Ellen Ochoa Learning Center","19647336118186","SPAN SCHOOL",5,"E","BELL/CUDHY/MAYWD COS",90201,"No",15,0,0.3571,0
1237201,2372,"Ellen Ochoa Learning Center",2372,"Ellen Ochoa Learning Center","19647336118186","SPAN SCHOOL",5,"E","BELL/CUDHY/MAYWD COS",90201,"Yes",27,0,0.6429,0
1237202,2773,"Ellen Ochoa LC DL Two-Way Im Spanish",2372,"Ellen Ochoa Learning Center","19647336118186","DUAL LANGUAGE (DLC) - ELEM",5,"E","BELL/CUDHY/MAYWD COS",90201,"No",31,1,0.265,0.5
1237202,2773,"Ellen Ochoa LC DL Two-Way Im Spanish",2372,"Ellen Ochoa Learning Center","19647336118186","DUAL LANGUAGE (DLC) - ELEM",5,"E","BELL/CUDHY/MAYWD COS",90201,"Yes",86,1,0.735,0.5
1237502,2374,"Teresa P Hughes Elementary Science/Tech/Math Magnet",2375,"Teresa P Hughes Elementary","19647336107411","MAGNET CENTER - ELEMENTARY",5,"E","BELL/CUDHY/MAYWD COS",90201,"No",89,34,1,1
1237802,5702,"Nueva Vista Elementary Visual and Performing Arts Magnet",2378,"Nueva Vista Elementary","19647336110274","MAGNET CENTER - ELEMENTARY",5,"E","BELL/CUDHY/MAYWD COS",90201,"No",90,27,0.9783,0.9643
1237802,5702,"Nueva Vista Elementary Visual and Performing Arts Magnet",2378,"Nueva Vista Elementary","19647336110274","MAGNET CENTER - ELEMENTARY",5,"E","BELL/CUDHY/MAYWD COS",90201,"Yes",2,1,0.0217,0.0357
1238502,2775,"Gratts LA For YS DL One-Way Im Spanish",2385,"Gratts Learning Academy for Young Scholars (GLAYS)","19647336113419","DUAL LANGUAGE (DLC) - ELEM",2,"C","MACARTHUR PARK COS",90017,"No",10,0,0.1887,0
1238502,2775,"Gratts LA For YS DL One-Way Im Spanish",2385,"Gratts Learning Academy for Young Scholars (GLAYS)","19647336113419","DUAL LANGUAGE (DLC) - ELEM",2,"C","MACARTHUR PARK COS",90017,"Yes",43,0,0.8113,0
1239102,2413,"Huntington Park  Elementary DL Two-Way Im Spanish",2391,"Huntington Park Elementary","19647330111997","DUAL LANGUAGE (DLC) - ELEM",5,"E","HUNTNGTN PK/VRNON COS",90255,"No",15,1,0.3409,0.1429
1239102,2413,"Huntington Park  Elementary DL Two-Way Im Spanish",2391,"Huntington Park Elementary","19647330111997","DUAL LANGUAGE (DLC) - ELEM",5,"E","HUNTNGTN PK/VRNON COS",90255,"Yes",29,6,0.6591,0.8571
1247902,2480,"Braddock Drive Elementary Gifted Magnet",2479,"Braddock Drive Elementary","19647336016059","MAGNET CENTER - ELEMENTARY",4,"W","VENICE COS",90230,"No",160,28,0.9697,0.9032
1247902,2480,"Braddock Drive Elementary Gifted Magnet",2479,"Braddock Drive Elementary","19647336016059","MAGNET CENTER - ELEMENTARY",4,"W","VENICE COS",90230,"Yes",5,3,0.0303,0.0968
1247903,2776,"Braddock Drive Elementary DL Two-Way Im Mandarin",2479,"Braddock Drive Elementary","19647336016059","DUAL LANGUAGE (DLC) - ELEM",4,"W","VENICE COS",90230,"No",138,24,0.6106,0.5333
1247903,2776,"Braddock Drive Elementary DL Two-Way Im Mandarin",2479,"Braddock Drive Elementary","19647336016059","DUAL LANGUAGE (DLC) - ELEM",4,"W","VENICE COS",90230,"Yes",88,21,0.3894,0.4667
1250701,2507,"Brentwood Elementary Science Magnet",2507,"Brentwood Elementary Science Magnet","19647336016083","MAGNET-SELF CONTAINED (ELEM)",4,"W","WEST LA COS",90049,"No",427,123,0.9596,0.9248
1250701,2507,"Brentwood Elementary Science Magnet",2507,"Brentwood Elementary Science Magnet","19647336016083","MAGNET-SELF CONTAINED (ELEM)",4,"W","WEST LA COS",90049,"Yes",18,10,0.0404,0.0752
1252701,2527,"Broad Avenue Elementary",2527,"Broad Avenue Elementary","19647336016109","ELEMENTARY SCHOOL",7,"S","WILMINGTON COS",90744,"No",41,0,0.9535,0
1252701,2527,"Broad Avenue Elementary",2527,"Broad Avenue Elementary","19647336016109","ELEMENTARY SCHOOL",7,"S","WILMINGTON COS",90744,"Yes",2,0,0.0465,0
1252702,2453,"Broad Avenue Elementary DL Two-Way Im Spanish",2527,"Broad Avenue Elementary","19647336016109","DUAL LANGUAGE (DLC) - ELEM",7,"S","WILMINGTON COS",90744,"No",54,11,0.6585,0.7333
1252702,2453,"Broad Avenue Elementary DL Two-Way Im Spanish",2527,"Broad Avenue Elementary","19647336016109","DUAL LANGUAGE (DLC) - ELEM",7,"S","WILMINGTON COS",90744,"Yes",28,4,0.3415,0.2667
1253402,2777,"Broadway Elementary DL Two-Way Im Spanish",2534,"Broadway Elementary DL Two-Way Im Spanish","19647336016125","DUAL LANGUAGE (DLC) - ELEM",4,"W","VENICE COS",90291,"No",163,25,0.6417,0.4808
1253402,2777,"Broadway Elementary DL Two-Way Im Spanish",2534,"Broadway Elementary DL Two-Way Im Spanish","19647336016125","DUAL LANGUAGE (DLC) - ELEM",4,"W","VENICE COS",90291,"Yes",91,27,0.3583,0.5192
1253403,2778,"Broadway Elementary DL Two-Way Im Mandarin",2534,"Broadway Elementary DL Two-Way Im Spanish","19647336016125","DUAL LANGUAGE (DLC) - ELEM",4,"W","VENICE COS",90291,"No",132,29,0.4925,0.4915
1253403,2778,"Broadway Elementary DL Two-Way Im Mandarin",2534,"Broadway Elementary DL Two-Way Im Spanish","19647336016125","DUAL LANGUAGE (DLC) - ELEM",4,"W","VENICE COS",90291,"Yes",136,30,0.5075,0.5085
1254202,2344,"White Elementary Visual Arts Magnet",2542,"Charles White Elementary School","19647330106948","MAGNET CENTER - ELEMENTARY",2,"C","MACARTHUR PARK COS",90057,"No",65,24,0.9559,1
1254202,2344,"White Elementary Visual Arts Magnet",2542,"Charles White Elementary School","19647330106948","MAGNET CENTER - ELEMENTARY",2,"C","MACARTHUR PARK COS",90057,"Yes",3,0,0.0441,0
1254402,2779,"Macarthur Park VPA DL Two-Way Im Spanish",2544,"MacArthur Park Elementary Visual and Performing Arts","19647336120810","DUAL LANGUAGE (DLC) - ELEM",2,"C","MACARTHUR PARK COS",90057,"No",20,1,0.3125,0.2
1254402,2779,"Macarthur Park VPA DL Two-Way Im Spanish",2544,"MacArthur Park Elementary Visual and Performing Arts","19647336120810","DUAL LANGUAGE (DLC) - ELEM",2,"C","MACARTHUR PARK COS",90057,"Yes",44,4,0.6875,0.8
1258902,2590,"Bryson Avenue Elementary Science/Tech/Math Magnet",2589,"Bryson Avenue Elementary","19647336016158","MAGNET CENTER - ELEMENTARY",5,"E","SOUTH GATE COS",90280,"No",194,66,0.97,0.9706
1258902,2590,"Bryson Avenue Elementary Science/Tech/Math Magnet",2589,"Bryson Avenue Elementary","19647336016158","MAGNET CENTER - ELEMENTARY",5,"E","SOUTH GATE COS",90280,"Yes",6,2,0.03,0.0294
