"ApplyCostCenterCode","ApplyProgramLocationCode","ApplyProgramName","ApplySchoolLocationCode","ApplySchool","ApplyCDSCode","ApplySchoolType","ApplyBoardDistrict","ApplyLocalDistrict","ApplyCommunityOfSchools","ApplyZipCode","ApplicantZipCode","Applications","SeatOffers","PropOfTotalApps","PropOfTotalSeatOffers"
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90001",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90004",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90012",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90015",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90022",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90025",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90031",5,2,0.0403,0.0645
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90032",6,3,0.0484,0.0968
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90033",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90039",2,0,0.0161,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90041",7,1,0.0565,0.0323
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90042",66,20,0.5323,0.6452
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90043",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90065",19,3,0.1532,0.0968
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90280",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90731",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90745",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"90746",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"91103",1,1,0.0081,0.0323
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"91343",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"91344",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"91367",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"91601",1,1,0.0081,0.0323
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"91604",1,0,0.0081,0
1202702,2768,"Aldama Elementary DL Two-Way Im Spanish",2027,"Aldama Elementary","19647336015713","DUAL LANGUAGE (DLC) - ELEM",5,"C","EGL RK/HIGHLD PK COS",90042,"93536",1,0,0.0081,0
1204102,2400,"Alexandria Avenue Elementary DL Two-Way Im Spanish",2041,"Alexandria Avenue Elementary","19647336015721","DUAL LANGUAGE (DLC) - ELEM",2,"C","DOWNTOWN COS",90004,"90004",59,0,0.8939,0
1204102,2400,"Alexandria Avenue Elementary DL Two-Way Im Spanish",2041,"Alexandria Avenue Elementary","19647336015721","DUAL LANGUAGE (DLC) - ELEM",2,"C","DOWNTOWN COS",90004,"90006",2,0,0.0303,0
1204102,2400,"Alexandria Avenue Elementary DL Two-Way Im Spanish",2041,"Alexandria Avenue Elementary","19647336015721","DUAL LANGUAGE (DLC) - ELEM",2,"C","DOWNTOWN COS",90004,"90020",1,0,0.0152,0
1204102,2400,"Alexandria Avenue Elementary DL Two-Way Im Spanish",2041,"Alexandria Avenue Elementary","19647336015721","DUAL LANGUAGE (DLC) - ELEM",2,"C","DOWNTOWN COS",90004,"90037",1,0,0.0152,0
1204102,2400,"Alexandria Avenue Elementary DL Two-Way Im Spanish",2041,"Alexandria Avenue Elementary","19647336015721","DUAL LANGUAGE (DLC) - ELEM",2,"C","DOWNTOWN COS",90004,"90044",1,0,0.0152,0
