Program_Name,School,School_Type,Community_Of_Schools,Zip_Code,Dual_Language,Applications,Seat_Offers
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,EGL RK/HIGHLD PK COS,90042,No,94,22
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,EGL RK/HIGHLD PK COS,90042,Yes,30,9
Alexandria Avenue Elementary DL Two-Way Im Spanish,Alexandria Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,DOWNTOWN COS,90004,No,20,0
Alexandria Avenue Elementary DL Two-Way Im Spanish,Alexandria Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,DOWNTOWN COS,90004,Yes,46,0
Harvard Elementary DL Two-Way Im Spanish,Harvard Elementary,DUAL LANGUAGE (DLC) - ELEM,HOLLYWOOD COS,90004,No,16,0
Harvard Elementary DL Two-Way Im Spanish,Harvard Elementary,DUAL LANGUAGE (DLC) - ELEM,HOLLYWOOD COS,90004,Yes,12,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,GLSLL/LS FLZ PRK COS,90039,No,130,30
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,GLSLL/LS FLZ PRK COS,90039,Yes,10,3
Alta Loma Elementary DL Two-Way Im Spanish,Alta Loma Elementary,DUAL LANGUAGE (DLC) - ELEM,LA MID-CITY COS,90019,No,10,4
Alta Loma Elementary DL Two-Way Im Spanish,Alta Loma Elementary,DUAL LANGUAGE (DLC) - ELEM,LA MID-CITY COS,90019,Yes,31,11
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,CARSON COS,90746,No,153,27
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,CARSON COS,90746,Yes,4,2
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,CARSON COS,90746,No,63,12
Ambler Avenue Elementary DL Two-Way Im Spanish,Ambler Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,CARSON COS,90746,Yes,16,0
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,GARDENA COS,90247,No,242,39
Amestoy Elementary Multilingual/Multicultural Magnet,Amestoy Elementary,MAGNET CENTER - ELEMENTARY,GARDENA COS,90247,Yes,24,3
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,KENNDY/NAHS/VAAS COS,91325,No,91,7
Andasol Avenue Elementary,Andasol Avenue Elementary,ELEMENTARY SCHOOL,KENNDY/NAHS/VAAS COS,91325,Yes,10,1
Angeles Mesa El DREAMS Magnet,Angeles Mesa Elementary,MAGNET CENTER - ELEMENTARY,LA MID-CITY COS,90043,No,135,21
Angeles Mesa El DREAMS Magnet,Angeles Mesa Elementary,MAGNET CENTER - ELEMENTARY,LA MID-CITY COS,90043,Yes,5,1
Annalee Avenue Elementary STEAM Magnet,Annalee Avenue Elementary,MAGNET CENTER - ELEMENTARY,CARSON COS,90746,No,95,39
Apperson Street Elementary,Apperson Street Elementary,ELEMENTARY SCHOOL,SUNLAND/TUJUNGA COS,91040,No,16,2
Apperson Street Elementary,Apperson Street Elementary,ELEMENTARY SCHOOL,SUNLAND/TUJUNGA COS,91040,Yes,5,0
Arlington Heights Elementary DL Two-Way Im Spanish,Arlington Heights Elementary,DUAL LANGUAGE (DLC) - ELEM,LA MID-CITY COS,90019,No,17,0
Arlington Heights Elementary DL Two-Way Im Spanish,Arlington Heights Elementary,DUAL LANGUAGE (DLC) - ELEM,LA MID-CITY COS,90019,Yes,23,0
Atwater Avenue Elementary DL Two-Way Im Spanish,Atwater Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,GLSLL/LS FLZ PRK COS,90039,No,91,24
Atwater Avenue Elementary DL Two-Way Im Spanish,Atwater Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,GLSLL/LS FLZ PRK COS,90039,Yes,34,7
