Program_Name,School_Name,School_Type,School_ZipCode,Applicant_ZipCode,Applications_count,Seat_Offers
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90001,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90004,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90012,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90015,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90022,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90025,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90031,5,2
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90032,6,3
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90033,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90039,2,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90041,7,1
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90042,66,20
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90043,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90065,19,3
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90280,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90731,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90745,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,90746,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,91103,1,1
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,91343,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,91344,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,91367,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,91601,1,1
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,91604,1,0
Aldama Elementary DL Two-Way Im Spanish,Aldama Elementary,DUAL LANGUAGE (DLC) - ELEM,90042,93536,1,0
Alexandria Avenue Elementary DL Two-Way Im Spanish,Alexandria Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,90004,59,0
Alexandria Avenue Elementary DL Two-Way Im Spanish,Alexandria Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,90006,2,0
Alexandria Avenue Elementary DL Two-Way Im Spanish,Alexandria Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,90020,1,0
Alexandria Avenue Elementary DL Two-Way Im Spanish,Alexandria Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,90037,1,0
Alexandria Avenue Elementary DL Two-Way Im Spanish,Alexandria Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,90044,1,0
Alexandria Avenue Elementary DL Two-Way Im Spanish,Alexandria Avenue Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,91335,2,0
Harvard Elementary DL Two-Way Im Spanish,Harvard Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,90004,22,0
Harvard Elementary DL Two-Way Im Spanish,Harvard Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,90011,1,0
Harvard Elementary DL Two-Way Im Spanish,Harvard Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,90016,1,0
Harvard Elementary DL Two-Way Im Spanish,Harvard Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,90020,1,0
Harvard Elementary DL Two-Way Im Spanish,Harvard Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,90063,1,0
Harvard Elementary DL Two-Way Im Spanish,Harvard Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,91356,1,0
Harvard Elementary DL Two-Way Im Spanish,Harvard Elementary,DUAL LANGUAGE (DLC) - ELEM,90004,91387,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90001,2,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90004,1,1
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90006,5,1
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90007,1,1
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90011,3,1
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90017,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90018,1,1
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90020,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90021,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90023,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90026,10,2
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90027,3,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90029,2,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90031,12,3
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90032,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90033,5,3
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90037,4,1
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90039,45,10
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90041,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90042,7,1
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90043,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90044,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90059,2,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90061,2,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90063,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90064,2,1
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90065,10,3
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90066,2,1
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90232,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,90731,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,91306,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,91311,1,1
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,91342,3,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,91402,1,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,91602,1,1
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,91605,2,0
Allesandro Elementary Cooperative Learning Magnet,Allesandro Elementary,MAGNET CENTER - ELEMENTARY,90039,91606,1,1
Alta Loma Elementary DL Two-Way Im Spanish,Alta Loma Elementary,DUAL LANGUAGE (DLC) - ELEM,90019,90008,1,0
Alta Loma Elementary DL Two-Way Im Spanish,Alta Loma Elementary,DUAL LANGUAGE (DLC) - ELEM,90019,90016,8,4
Alta Loma Elementary DL Two-Way Im Spanish,Alta Loma Elementary,DUAL LANGUAGE (DLC) - ELEM,90019,90018,1,0
Alta Loma Elementary DL Two-Way Im Spanish,Alta Loma Elementary,DUAL LANGUAGE (DLC) - ELEM,90019,90019,28,11
Alta Loma Elementary DL Two-Way Im Spanish,Alta Loma Elementary,DUAL LANGUAGE (DLC) - ELEM,90019,90302,1,0
Alta Loma Elementary DL Two-Way Im Spanish,Alta Loma Elementary,DUAL LANGUAGE (DLC) - ELEM,90019,91605,1,0
Alta Loma Elementary DL Two-Way Im Spanish,Alta Loma Elementary,DUAL LANGUAGE (DLC) - ELEM,90019,91737,1,0
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90002,6,0
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90003,4,0
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90019,1,0
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90025,1,0
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90044,14,1
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90047,8,1
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90059,4,1
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90061,6,0
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90062,2,0
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90247,6,2
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90248,11,1
Ambler Avenue Elementary Gifted Magnet,Ambler Avenue Elementary,MAGNET CENTER - ELEMENTARY,90746,90249,2,0
